="",="WGI1",="WGI2",="VDEM1",="VDEM2",="VDEM5",="EFW",="VDEMy(1994)",="VDEMy(1997)",="VDEMy(1998)",="VDEMy(2002)"
="WGI1",=".0021443",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="WGI2",="0",=".0008606",="0",="0",="0",="0",="0",="0",="0",="0"
="VDEM1",="0",="0",=".0012209",="0",="0",="0",="0",="0",="0",="0"
="VDEM2",="0",="0",="0",=".0021622",="0",="0",="0",="0",="0",="0"
="VDEM5",="0",="0",="0",="0",=".0007495",="0",="0",="0",="0",="0"
="EFW",="0",="0",="0",="0",="0",=".0006877",="0",="0",="0",="0"
="VDEMy(1994)",="0",="0",="0",="0",="0",="0",=".0943887",="0",="0",="0"
="VDEMy(1997)",="0",="0",="0",="0",="0",="0",="0",=".4811116",="0",="0"
="VDEMy(1998)",="0",="0",="0",="0",="0",="0",="0",="0",=".4011922",="0"
="VDEMy(2002)",="0",="0",="0",="0",="0",="0",="0",="0",="0",=".0154823"
