="",="VDEM6",="polity2",="VDEM1",="ICRG",="VDEMy(1992)",="VDEMy(1995)",="VDEMy(1998)",="VDEMy(2000)",="VDEMy(2002)",="VDEMy(2005)"
="VDEM6",=".0013408",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="polity2",="0",=".0012041",="0",="0",="0",="0",="0",="0",="0",="0"
="VDEM1",="0",="0",=".0030281",="0",="0",="0",="0",="0",="0",="0"
="ICRG",="0",="0",="0",=".0001207",="0",="0",="0",="0",="0",="0"
="VDEMy(1992)",="0",="0",="0",="0",=".1286734",="0",="0",="0",="0",="0"
="VDEMy(1995)",="0",="0",="0",="0",="0",=".3871584",="0",="0",="0",="0"
="VDEMy(1998)",="0",="0",="0",="0",="0",="0",=".1903671",="0",="0",="0"
="VDEMy(2000)",="0",="0",="0",="0",="0",="0",="0",=".0921008",="0",="0"
="VDEMy(2002)",="0",="0",="0",="0",="0",="0",="0",="0",=".1135532",="0"
="VDEMy(2005)",="0",="0",="0",="0",="0",="0",="0",="0",="0",=".0824534"
