="",="VDEM2",="VDEM4",="WGI1",="polity2",="WGI3",="VDEMy(1997)",="VDEMy(2001)",="VDEMy(2002)",="VDEMy(2004)",="VDEMy(2006)"
="VDEM2",=".0003359",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VDEM4",="0",=".0001197",="0",="0",="0",="0",="0",="0",="0",="0"
="WGI1",="0",="0",=".0003588",="0",="0",="0",="0",="0",="0",="0"
="polity2",="0",="0",="0",=".0002685",="0",="0",="0",="0",="0",="0"
="WGI3",="0",="0",="0",="0",=".0003488",="0",="0",="0",="0",="0"
="VDEMy(1997)",="0",="0",="0",="0",="0",=".2677393",="0",="0",="0",="0"
="VDEMy(2001)",="0",="0",="0",="0",="0",="0",=".3345272",="0",="0",="0"
="VDEMy(2002)",="0",="0",="0",="0",="0",="0",="0",=".1645257",="0",="0"
="VDEMy(2004)",="0",="0",="0",="0",="0",="0",="0",="0",=".1509749",="0"
="VDEMy(2006)",="0",="0",="0",="0",="0",="0",="0",="0",="0",=".0808011"
